epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1,val_auc,lr
1,0.4735,0.7693,0.7908,0.3209,0.8528,0.8681,0.9424,0.001000
2,0.3856,0.8203,0.8374,0.2821,0.8766,0.8930,0.9516,0.001000
3,0.3476,0.8469,0.8621,0.2638,0.8830,0.8962,0.9615,0.001000
4,0.3261,0.8581,0.8723,0.2343,0.9046,0.9159,0.9685,0.001000
5,0.2997,0.8739,0.8868,0.2294,0.9046,0.9171,0.9688,0.001000
6,0.2969,0.8720,0.8854,0.2196,0.9106,0.9249,0.9737,0.001000
7,0.2684,0.8839,0.8961,0.2141,0.9110,0.9200,0.9778,0.001000
8,0.2839,0.8816,0.8937,0.1908,0.9339,0.9435,0.9789,0.001000
9,0.2598,0.8937,0.9050,0.1849,0.9257,0.9350,0.9811,0.001000
10,0.2469,0.8982,0.9091,0.1779,0.9307,0.9404,0.9814,0.001000
11,0.2450,0.8966,0.9078,0.1821,0.9298,0.9382,0.9814,0.001000
12,0.2419,0.9001,0.9108,0.1723,0.9303,0.9407,0.9824,0.001000
13,0.2346,0.9048,0.9153,0.1563,0.9413,0.9492,0.9862,0.001000
14,0.2359,0.9011,0.9117,0.1598,0.9417,0.9497,0.9849,0.001000
15,0.2353,0.9029,0.9134,0.1591,0.9353,0.9433,0.9853,0.001000
16,0.2286,0.9041,0.9146,0.1457,0.9445,0.9519,0.9872,0.001000
17,0.2198,0.9134,0.9229,0.1486,0.9408,0.9481,0.9875,0.001000
18,0.2107,0.9140,0.9234,0.1420,0.9468,0.9547,0.9876,0.001000
19,0.2138,0.9126,0.9223,0.1482,0.9408,0.9484,0.9871,0.001000
20,0.2098,0.9164,0.9254,0.1407,0.9463,0.9535,0.9887,0.001000
21,0.2112,0.9110,0.9207,0.1389,0.9468,0.9542,0.9883,0.001000
22,0.2068,0.9150,0.9244,0.1554,0.9408,0.9483,0.9876,0.001000
23,0.2054,0.9185,0.9274,0.1428,0.9440,0.9519,0.9874,0.001000
24,0.2073,0.9161,0.9254,0.1398,0.9436,0.9506,0.9889,0.001000
25,0.1972,0.9180,0.9271,0.1360,0.9477,0.9545,0.9886,0.001000
26,0.2027,0.9180,0.9270,0.1493,0.9427,0.9495,0.9877,0.001000
27,0.1870,0.9245,0.9327,0.1327,0.9500,0.9574,0.9895,0.001000
28,0.1894,0.9263,0.9346,0.1402,0.9450,0.9518,0.9886,0.001000
29,0.2043,0.9200,0.9287,0.1408,0.9463,0.9538,0.9879,0.001000
30,0.1871,0.9273,0.9355,0.1309,0.9427,0.9503,0.9896,0.001000
